,Variacions
167,10.709999999999923
168,12.230000000000018
169,23.82000000000005
170,28.659999999999854
171,22.100000000000136
172,20.340000000000032
173,18.029999999999973
174,19.159999999999968
175,18.769999999999982
176,17.120000000000005
177,14.180000000000064
178,14.759999999999991
179,11.669999999999845
180,7.700000000000159
181,8.949999999999932
182,9.379999999999995
183,4.220000000000027
184,6.830000000000041
185,2.549999999999841
186,2.220000000000141
187,4.159999999999968
188,5.110000000000014
189,2.8600000000000136
190,6.230000000000018
191,5.739999999999952
192,10.720000000000027
193,10.370000000000005
194,7.740000000000066
195,9.549999999999898
196,28.47999999999996
197,12.250000000000057
198,81.82
199,35.37999999999994
200,40.050000000000125
201,21.17999999999995
202,13.599999999999909
203,22.25999999999999
204,37.629999999999995
205,81.58000000000015
206,2.839999999999918
207,4.3799999999999955
208,5.529999999999973
209,15.3900000000001
210,14.480000000000018
211,14.920000000000073
212,14.009999999999764
213,14.500000000000114
214,12.980000000000018
215,10.470000000000027
216,26.019999999999982
217,21.11999999999989
218,20.37000000000012
219,17.870000000000005
220,17.269999999999982
221,16.100000000000023
222,68.6099999999999
223,27.389999999999986
224,31.850000000000136
225,15.199999999999818
226,5.6400000000001
227,20.319999999999936
228,7.820000000000164
229,29.609999999999786
230,30.62000000000012
231,19.690000000000055
232,19.809999999999945
233,16.649999999999977
234,9.680000000000064
235,9.889999999999986
236,6.92999999999995
237,11.930000000000064
238,5.780000000000086
239,3.3499999999997954
240,7.940000000000055
241,5.5
242,3.3300000000001546
243,2.939999999999827
244,9.040000000000077
245,6.3799999999999955
246,8.36999999999989
247,6.530000000000086
248,6.249999999999886
249,6.1400000000001
250,9.68999999999994
251,6.35000000000008
252,7.46999999999997
253,8.509999999999934
254,8.210000000000093
255,8.879999999999995
256,8.170000000000016
257,10.069999999999993
258,23.649999999999977
259,12.710000000000036
260,10.829999999999927
261,10.92000000000013
262,10.709999999999923
263,9.449999999999989
264,9.649999999999977
265,9.169999999999902
266,9.29000000000002
267,19.40999999999991
268,12.31999999999988
269,10.779999999999916
270,10.659999999999968
271,9.970000000000027
272,10.93999999999997
273,13.749999999999915
274,13.21999999999997
275,13.810000000000002
276,11.629999999999853
277,13.330000000000013
278,11.319999999999993
279,11.489999999999952
280,11.609999999999928
281,20.359999999999985
282,13.999999999999943
283,9.689999999999998
284,8.209999999999837
285,10.040000000000049
286,9.449999999999989
287,4.240000000000009
288,6.009999999999849
289,5.280000000000001
290,1.5300000000000296
291,3.1200000000000188
292,5.4399999999999835
293,6.570000000000036
294,8.180000000000021
295,8.39999999999992
296,7.319999999999908
297,21.63999999999993
298,13.06999999999988
299,10.979999999999961
300,13.14999999999992
301,10.549999999999926
302,39.799999999999955
303,54.37999999999985
304,26.029999999999973
305,20.30000000000001
306,18.010000000000076
307,59.82000000000008
308,24.75000000000003
309,22.370000000000033
310,21.530000000000058
311,18.59000000000006
312,15.960000000000065
313,15.34000000000006
314,16.520000000000067
315,28.019999999999953
316,17.090000000000117
317,20.530000000000058
318,120.84999999999994
319,29.220000000000027
320,23.300000000000068
321,22.05000000000001
322,19.95999999999998
323,21.790000000000077
324,24.919999999999902
325,40.24000000000001
326,36.289999999999964
327,36.94000000000017
328,29.62999999999988
329,26.139999999999986
330,21.220000000000027
331,18.67999999999995
332,15.519999999999982
333,14.020000000000095
334,11.970000000000027
335,8.059999999999945
336,5.540000000000077
337,5.4099999999998545
338,4.149999999999977
339,2.800000000000182
340,4.3599999999999
341,7.189999999999998
342,5.959999999999923
343,2.900000000000091
344,4.919999999999959
345,5.439999999999941
346,13.04000000000002
347,10.150000000000034
348,8.710000000000036
349,7.96999999999997
350,29.720000000000027
351,15.579999999999927
352,13.180000000000064
353,11.569999999999993
354,12.980000000000018
355,14.880000000000052
356,12.21999999999997
357,11.409999999999968
358,10.950000000000188
359,10.219999999999999
360,12.040000000000049
361,10.84000000000006
362,11.38000000000008
363,11.440000000000026
364,10.900000000000006
365,10.570000000000135
366,11.080000000000013
367,10.410000000000167
368,9.98999999999998
369,9.80000000000004
370,10.790000000000049
371,10.59000000000006
372,11.020000000000124
373,11.23999999999998
374,11.08000000000007
375,10.640000000000015
376,10.63000000000008
377,10.060000000000088
378,10.900000000000063
379,39.030000000000115
380,42.529999999999944
381,41.6700000000001
382,26.44999999999996
383,30.020000000000124
384,24.84000000000006
385,20.400000000000063
386,16.81000000000003
387,15.100000000000051
388,17.850000000000108
389,11.930000000000092
